Complaint_ID,Complaint_Text,Category,Sentiment,Priority,Resolution,Status
32,Medical assistance required urgently,Theft,Negative,High,RPF complaint registered,Pending
33,Washroom is dirty,Water Problem,Neutral,Low,Vendor informed,Resolved
34,Charging point not working,Electrical,Negative,Medium,Electrician assigned,Pending
35,Medical assistance required urgently,Noise Complaint,Neutral,Low,Coach attendant informed,Pending
36,Food served was stale,Washroom Problem,Negative,Low,Cleaning staff informed,Pending
37,Charging point not working,Security,Neutral,Low,RPF team alerted,Resolved
38,Food served was stale,Bedroll Missing,Neutral,Low,Housekeeping informed,Pending
39,Train delayed by 3 hours,Women Safety,Neutral,Low,RPF escort assigned,Pending
40,Charging point not working,Coach Damage,Neutral,Low,Maintenance team assigned,Resolved
41,WiFi not available,Theft,Neutral,Medium,RPF complaint registered,Pending
42,Food served was stale,Cleanliness,Neutral,Medium,Cleaning team dispatched,Pending
43,Charging point not working,Electrical,Negative,Medium,Electrician assigned,Resolved
44,Washroom is dirty,Staff Behaviour,Neutral,Medium,Supervisor informed,Resolved
45,AC not working in coach B2,Theft,Very Negative,Medium,RPF complaint registered,Resolved
46,Unauthorized person entered coach,Women Safety,Very Negative,High,RPF escort assigned,Resolved
47,Blanket not provided,Delay,Very Negative,High,Delay notification sent,Pending
48,Passenger lost luggage,Staff Behaviour,Very Negative,High,Supervisor informed,Pending
49,Passenger lost luggage,Staff Behaviour,Neutral,Medium,Supervisor informed,Pending
50,Washroom is dirty,Electrical,Negative,Medium,Electrician assigned,Resolved
51,Passenger lost luggage,Medical Emergency,Very Negative,High,Medical team alerted,Pending
52,Train delayed by 3 hours,Noise Complaint,Neutral,Low,Coach attendant informed,Pending
53,Blanket not provided,Luggage,Very Negative,Medium,Lost and found informed,Resolved
54,Medical assistance required urgently,Bedroll Missing,Neutral,Medium,Housekeeping informed,Resolved
55,Unauthorized person entered coach,WiFi Issue,Negative,Low,Technical support informed,Resolved
56,Washroom is dirty,Security,Neutral,High,RPF team alerted,Resolved
57,Medical assistance required urgently,Water Problem,Negative,High,Vendor informed,Pending
58,Unauthorized person entered coach,Electrical,Neutral,Low,Electrician assigned,Resolved
59,WiFi not available,Security,Very Negative,Low,RPF team alerted,Resolved
60,WiFi not available,Coach Damage,Very Negative,Medium,Maintenance team assigned,Pending
61,Blanket not provided,Staff Behaviour,Very Negative,Medium,Supervisor informed,Pending
62,Charging point not working,WiFi Issue,Negative,Medium,Technical support informed,Pending
63,Train delayed by 3 hours,Staff Behaviour,Negative,Low,Supervisor informed,Resolved
64,Blanket not provided,Security,Very Negative,Low,RPF team alerted,Pending
65,Unauthorized person entered coach,Food Quality,Neutral,Medium,Catering manager informed,Resolved
66,Train delayed by 3 hours,AC Issue,Very Negative,Low,Technician assigned,Pending
67,WiFi not available,WiFi Issue,Negative,High,Technical support informed,Resolved
68,Medical assistance required urgently,Bedroll Missing,Very Negative,Medium,Housekeeping informed,Pending
69,Medical assistance required urgently,Ticket Issue,Very Negative,Medium,Refund process initiated,Resolved
70,Food served was stale,Delay,Very Negative,Low,Delay notification sent,Resolved
71,Food served was stale,Women Safety,Negative,Low,RPF escort assigned,Pending
72,AC not working in coach B2,Security,Negative,High,RPF team alerted,Resolved
73,Unauthorized person entered coach,Luggage,Neutral,High,Lost and found informed,Pending
74,Food served was stale,Staff Behaviour,Very Negative,Medium,Supervisor informed,Resolved
75,Washroom is dirty,Washroom Problem,Very Negative,Low,Cleaning staff informed,Pending
76,Train delayed by 3 hours,Cleanliness,Negative,Low,Cleaning team dispatched,Resolved
77,WiFi not available,Electrical,Negative,Low,Electrician assigned,Resolved
78,AC not working in coach B2,Luggage,Very Negative,Medium,Lost and found informed,Pending
79,WiFi not available,Delay,Very Negative,High,Delay notification sent,Pending
80,Train delayed by 3 hours,Water Problem,Neutral,Low,Vendor informed,Pending
81,Washroom is dirty,Security,Neutral,Low,RPF team alerted,Pending
82,Passenger lost luggage,Food Quality,Negative,Medium,Catering manager informed,Pending
83,WiFi not available,Reservation,Very Negative,Medium,Reservation department informed,Resolved
84,Medical assistance required urgently,Luggage,Neutral,Low,Lost and found informed,Pending
85,Food served was stale,Water Problem,Very Negative,High,Vendor informed,Pending
86,Train delayed by 3 hours,Food Quality,Negative,Low,Catering manager informed,Pending
87,Train delayed by 3 hours,Women Safety,Negative,Low,RPF escort assigned,Pending
88,AC not working in coach B2,Luggage,Very Negative,Medium,Lost and found informed,Pending
89,Food served was stale,Noise Complaint,Negative,Medium,Coach attendant informed,Pending
90,Passenger lost luggage,Food Quality,Neutral,Medium,Catering manager informed,Pending
91,Food served was stale,Noise Complaint,Neutral,Medium,Coach attendant informed,Pending
92,Passenger lost luggage,Washroom Problem,Negative,Medium,Cleaning staff informed,Resolved
93,AC not working in coach B2,Security,Neutral,Medium,RPF team alerted,Pending
94,Medical assistance required urgently,AC Issue,Neutral,Low,Technician assigned,Resolved
95,Medical assistance required urgently,Food Quality,Negative,High,Catering manager informed,Pending
96,Train delayed by 3 hours,Luggage,Negative,Medium,Lost and found informed,Resolved
97,Food served was stale,Delay,Neutral,High,Delay notification sent,Pending
98,Unauthorized person entered coach,Security,Negative,Medium,RPF team alerted,Pending
99,Charging point not working,Luggage,Neutral,High,Lost and found informed,Pending
100,Blanket not provided,Catering Issue,Negative,High,Vendor contacted,Resolved
101,Washroom is dirty,Bedroll Missing,Very Negative,Low,Housekeeping informed,Resolved
102,WiFi not available,Ticket Issue,Very Negative,Medium,Refund process initiated,Resolved
103,WiFi not available,Coach Damage,Very Negative,High,Maintenance team assigned,Resolved
104,WiFi not available,Staff Behaviour,Very Negative,High,Supervisor informed,Resolved
105,Passenger lost luggage,Luggage,Very Negative,Medium,Lost and found informed,Resolved
106,AC not working in coach B2,WiFi Issue,Neutral,Low,Technical support informed,Pending
107,Charging point not working,Coach Damage,Neutral,Medium,Maintenance team assigned,Resolved
108,Medical assistance required urgently,Theft,Negative,High,RPF complaint registered,Resolved
109,Blanket not provided,Delay,Very Negative,High,Delay notification sent,Pending
110,Food served was stale,Women Safety,Very Negative,Low,RPF escort assigned,Pending
111,Washroom is dirty,Bedroll Missing,Negative,High,Housekeeping informed,Resolved
112,Train delayed by 3 hours,Catering Issue,Neutral,Low,Vendor contacted,Resolved
113,Washroom is dirty,AC Issue,Very Negative,High,Technician assigned,Resolved
114,Medical assistance required urgently,Reservation,Neutral,Medium,Reservation department informed,Pending
115,Train delayed by 3 hours,Medical Emergency,Very Negative,Low,Medical team alerted,Pending
116,Unauthorized person entered coach,Medical Emergency,Very Negative,Low,Medical team alerted,Pending
117,Washroom is dirty,Electrical,Negative,Medium,Electrician assigned,Resolved
118,Blanket not provided,Catering Issue,Very Negative,Low,Vendor contacted,Pending
119,Washroom is dirty,Electrical,Very Negative,High,Electrician assigned,Resolved
120,WiFi not available,Ticket Issue,Negative,Low,Refund process initiated,Resolved
121,Charging point not working,Food Quality,Neutral,Medium,Catering manager informed,Resolved
122,Charging point not working,Reservation,Neutral,Low,Reservation department informed,Pending
123,Charging point not working,Water Problem,Negative,Medium,Vendor informed,Resolved
124,Charging point not working,Women Safety,Negative,High,RPF escort assigned,Pending
125,Food served was stale,Staff Behaviour,Neutral,High,Supervisor informed,Pending
126,Train delayed by 3 hours,Food Quality,Very Negative,Low,Catering manager informed,Pending
127,WiFi not available,Washroom Problem,Negative,Low,Cleaning staff informed,Resolved
128,Passenger lost luggage,Ticket Issue,Negative,Low,Refund process initiated,Resolved
129,WiFi not available,WiFi Issue,Negative,Medium,Technical support informed,Resolved
130,Blanket not provided,Cleanliness,Very Negative,Medium,Cleaning team dispatched,Resolved
131,Washroom is dirty,Staff Behaviour,Very Negative,Medium,Supervisor informed,Pending
132,Washroom is dirty,Staff Behaviour,Negative,Medium,Supervisor informed,Pending
133,Charging point not working,Women Safety,Neutral,Low,RPF escort assigned,Resolved
134,Unauthorized person entered coach,AC Issue,Negative,Low,Technician assigned,Resolved
135,Train delayed by 3 hours,Catering Issue,Neutral,High,Vendor contacted,Resolved
136,Train delayed by 3 hours,Security,Neutral,Low,RPF team alerted,Resolved
137,Blanket not provided,Cleanliness,Neutral,Low,Cleaning team dispatched,Pending
138,Food served was stale,Cleanliness,Neutral,High,Cleaning team dispatched,Resolved
139,Food served was stale,Security,Negative,Medium,RPF team alerted,Resolved
140,Medical assistance required urgently,WiFi Issue,Very Negative,Low,Technical support informed,Pending
141,Blanket not provided,Electrical,Neutral,High,Electrician assigned,Pending
142,Food served was stale,Theft,Very Negative,High,RPF complaint registered,Pending
143,Passenger lost luggage,Staff Behaviour,Very Negative,High,Supervisor informed,Pending
144,Train delayed by 3 hours,Security,Negative,Medium,RPF team alerted,Pending
145,Unauthorized person entered coach,Ticket Issue,Very Negative,High,Refund process initiated,Pending
146,Food served was stale,Washroom Problem,Negative,High,Cleaning staff informed,Resolved
147,Unauthorized person entered coach,WiFi Issue,Very Negative,Medium,Technical support informed,Resolved
148,Food served was stale,Luggage,Neutral,Low,Lost and found informed,Resolved
149,AC not working in coach B2,Cleanliness,Very Negative,Medium,Cleaning team dispatched,Pending
150,Charging point not working,Staff Behaviour,Neutral,Medium,Supervisor informed,Pending
151,Unauthorized person entered coach,Delay,Very Negative,Low,Delay notification sent,Resolved
152,WiFi not available,Coach Damage,Neutral,Low,Maintenance team assigned,Pending
153,Blanket not provided,Bedroll Missing,Neutral,Medium,Housekeeping informed,Resolved
154,Washroom is dirty,Bedroll Missing,Neutral,Medium,Housekeeping informed,Resolved
155,AC not working in coach B2,Noise Complaint,Very Negative,Medium,Coach attendant informed,Pending
156,Washroom is dirty,Coach Damage,Neutral,High,Maintenance team assigned,Pending
157,WiFi not available,Food Quality,Very Negative,Low,Catering manager informed,Pending
158,Passenger lost luggage,WiFi Issue,Negative,Low,Technical support informed,Resolved
159,Passenger lost luggage,Theft,Very Negative,Low,RPF complaint registered,Pending
160,Unauthorized person entered coach,Security,Very Negative,Low,RPF team alerted,Pending
161,Train delayed by 3 hours,Luggage,Very Negative,Medium,Lost and found informed,Pending
162,Unauthorized person entered coach,Electrical,Negative,High,Electrician assigned,Resolved
163,Blanket not provided,WiFi Issue,Very Negative,Low,Technical support informed,Pending
164,Washroom is dirty,Water Problem,Very Negative,High,Vendor informed,Resolved
165,Food served was stale,Ticket Issue,Neutral,Medium,Refund process initiated,Resolved
166,Washroom is dirty,Coach Damage,Negative,High,Maintenance team assigned,Resolved
167,WiFi not available,Food Quality,Very Negative,High,Catering manager informed,Pending
168,Blanket not provided,Cleanliness,Negative,Medium,Cleaning team dispatched,Pending
169,Charging point not working,Ticket Issue,Very Negative,Low,Refund process initiated,Resolved
170,Charging point not working,WiFi Issue,Very Negative,High,Technical support informed,Pending
171,Train delayed by 3 hours,Bedroll Missing,Neutral,High,Housekeeping informed,Pending
172,Food served was stale,Water Problem,Neutral,Medium,Vendor informed,Pending
173,Unauthorized person entered coach,Medical Emergency,Neutral,High,Medical team alerted,Resolved
174,Medical assistance required urgently,Luggage,Neutral,Low,Lost and found informed,Pending
175,Charging point not working,Ticket Issue,Neutral,High,Refund process initiated,Resolved
176,Train delayed by 3 hours,Ticket Issue,Very Negative,Medium,Refund process initiated,Resolved
177,Medical assistance required urgently,Catering Issue,Neutral,Low,Vendor contacted,Resolved
178,Passenger lost luggage,Reservation,Neutral,Medium,Reservation department informed,Pending
179,Train delayed by 3 hours,Ticket Issue,Negative,Medium,Refund process initiated,Resolved
180,Medical assistance required urgently,Water Problem,Neutral,Medium,Vendor informed,Resolved
181,Food served was stale,Women Safety,Negative,High,RPF escort assigned,Resolved
182,Food served was stale,WiFi Issue,Neutral,High,Technical support informed,Pending
183,Unauthorized person entered coach,Security,Very Negative,Low,RPF team alerted,Pending
184,AC not working in coach B2,Noise Complaint,Very Negative,High,Coach attendant informed,Pending
185,Blanket not provided,Staff Behaviour,Neutral,Medium,Supervisor informed,Resolved
186,WiFi not available,Cleanliness,Negative,Low,Cleaning team dispatched,Pending
187,Charging point not working,AC Issue,Very Negative,Low,Technician assigned,Resolved
188,Passenger lost luggage,Staff Behaviour,Neutral,Low,Supervisor informed,Resolved
189,Washroom is dirty,Cleanliness,Negative,Medium,Cleaning team dispatched,Resolved
190,Food served was stale,Noise Complaint,Very Negative,Medium,Coach attendant informed,Resolved
191,WiFi not available,Delay,Very Negative,Low,Delay notification sent,Pending
192,Blanket not provided,Luggage,Neutral,Medium,Lost and found informed,Resolved
193,Medical assistance required urgently,Reservation,Negative,Medium,Reservation department informed,Pending
194,WiFi not available,Medical Emergency,Negative,High,Medical team alerted,Pending
195,Passenger lost luggage,Washroom Problem,Very Negative,High,Cleaning staff informed,Pending
196,Blanket not provided,Catering Issue,Neutral,High,Vendor contacted,Resolved
197,AC not working in coach B2,Women Safety,Very Negative,Low,RPF escort assigned,Resolved
198,AC not working in coach B2,Theft,Very Negative,High,RPF complaint registered,Resolved
199,Food served was stale,Electrical,Neutral,Medium,Electrician assigned,Resolved
200,AC not working in coach B2,Catering Issue,Negative,High,Vendor contacted,Pending
201,Medical assistance required urgently,Washroom Problem,Negative,High,Cleaning staff informed,Resolved
202,AC not working in coach B2,Delay,Neutral,Medium,Delay notification sent,Resolved
203,Passenger lost luggage,Coach Damage,Neutral,Medium,Maintenance team assigned,Pending
204,Passenger lost luggage,Bedroll Missing,Negative,Medium,Housekeeping informed,Resolved
205,Blanket not provided,Noise Complaint,Neutral,High,Coach attendant informed,Pending
206,Washroom is dirty,Theft,Negative,Medium,RPF complaint registered,Pending
207,Charging point not working,Coach Damage,Neutral,Low,Maintenance team assigned,Resolved
208,AC not working in coach B2,Washroom Problem,Very Negative,High,Cleaning staff informed,Pending
209,Washroom is dirty,Luggage,Very Negative,High,Lost and found informed,Pending
210,Food served was stale,Bedroll Missing,Very Negative,High,Housekeeping informed,Pending
211,AC not working in coach B2,Bedroll Missing,Very Negative,High,Housekeeping informed,Resolved
212,Train delayed by 3 hours,Reservation,Neutral,Medium,Reservation department informed,Pending
213,Charging point not working,Catering Issue,Negative,Medium,Vendor contacted,Pending
214,Train delayed by 3 hours,Delay,Neutral,Medium,Delay notification sent,Resolved
215,Food served was stale,Reservation,Very Negative,High,Reservation department informed,Resolved
216,WiFi not available,Reservation,Very Negative,Medium,Reservation department informed,Pending
217,AC not working in coach B2,Ticket Issue,Very Negative,High,Refund process initiated,Pending
218,WiFi not available,Coach Damage,Very Negative,High,Maintenance team assigned,Resolved
219,Train delayed by 3 hours,Security,Very Negative,High,RPF team alerted,Pending
220,Train delayed by 3 hours,Food Quality,Negative,Medium,Catering manager informed,Resolved
221,AC not working in coach B2,Coach Damage,Neutral,Medium,Maintenance team assigned,Pending
222,Charging point not working,Reservation,Neutral,Low,Reservation department informed,Resolved
223,WiFi not available,Theft,Very Negative,Medium,RPF complaint registered,Pending
224,Train delayed by 3 hours,Security,Neutral,Medium,RPF team alerted,Pending
225,Passenger lost luggage,Food Quality,Negative,Medium,Catering manager informed,Resolved
226,Washroom is dirty,Luggage,Very Negative,Low,Lost and found informed,Pending
227,Train delayed by 3 hours,Reservation,Negative,Medium,Reservation department informed,Resolved
228,Charging point not working,Washroom Problem,Negative,High,Cleaning staff informed,Resolved
229,Blanket not provided,Washroom Problem,Very Negative,High,Cleaning staff informed,Pending
230,Unauthorized person entered coach,Noise Complaint,Very Negative,Low,Coach attendant informed,Pending
231,Passenger lost luggage,Reservation,Neutral,Low,Reservation department informed,Resolved
232,Blanket not provided,Food Quality,Neutral,Medium,Catering manager informed,Pending
233,AC not working in coach B2,Delay,Negative,Medium,Delay notification sent,Resolved
234,Blanket not provided,AC Issue,Very Negative,Medium,Technician assigned,Pending
235,Charging point not working,Delay,Very Negative,Low,Delay notification sent,Resolved
236,WiFi not available,Bedroll Missing,Neutral,Low,Housekeeping informed,Pending
237,AC not working in coach B2,Women Safety,Neutral,High,RPF escort assigned,Resolved
238,Unauthorized person entered coach,Noise Complaint,Negative,High,Coach attendant informed,Pending
239,Washroom is dirty,Food Quality,Neutral,Medium,Catering manager informed,Resolved
240,Medical assistance required urgently,Delay,Very Negative,High,Delay notification sent,Pending
241,Blanket not provided,Reservation,Neutral,High,Reservation department informed,Pending
242,Charging point not working,WiFi Issue,Very Negative,High,Technical support informed,Pending
243,Washroom is dirty,Luggage,Neutral,High,Lost and found informed,Pending
244,Unauthorized person entered coach,Water Problem,Very Negative,Low,Vendor informed,Resolved
245,WiFi not available,AC Issue,Negative,High,Technician assigned,Resolved
246,Unauthorized person entered coach,Reservation,Negative,Low,Reservation department informed,Resolved
247,Medical assistance required urgently,Delay,Very Negative,Medium,Delay notification sent,Pending
248,WiFi not available,Luggage,Negative,High,Lost and found informed,Pending
249,Washroom is dirty,Medical Emergency,Negative,High,Medical team alerted,Pending
250,Food served was stale,WiFi Issue,Very Negative,Medium,Technical support informed,Resolved
251,Medical assistance required urgently,Women Safety,Neutral,Low,RPF escort assigned,Pending
252,Passenger lost luggage,WiFi Issue,Neutral,Medium,Technical support informed,Resolved
253,Food served was stale,Theft,Negative,High,RPF complaint registered,Pending
254,Food served was stale,Cleanliness,Very Negative,Low,Cleaning team dispatched,Pending
255,Blanket not provided,Ticket Issue,Neutral,High,Refund process initiated,Resolved
256,Charging point not working,Ticket Issue,Negative,Low,Refund process initiated,Pending
257,WiFi not available,Coach Damage,Very Negative,Low,Maintenance team assigned,Resolved
258,Food served was stale,Security,Very Negative,High,RPF team alerted,Pending
259,Passenger lost luggage,Theft,Very Negative,Low,RPF complaint registered,Resolved
260,Washroom is dirty,Electrical,Very Negative,Medium,Electrician assigned,Pending
261,Charging point not working,Electrical,Negative,Medium,Electrician assigned,Resolved
262,Unauthorized person entered coach,Medical Emergency,Negative,High,Medical team alerted,Pending
263,Train delayed by 3 hours,Luggage,Negative,Medium,Lost and found informed,Pending
264,Blanket not provided,Electrical,Negative,Medium,Electrician assigned,Pending
265,WiFi not available,Coach Damage,Very Negative,Medium,Maintenance team assigned,Resolved
266,Blanket not provided,WiFi Issue,Negative,Low,Technical support informed,Resolved
267,Charging point not working,WiFi Issue,Negative,Medium,Technical support informed,Resolved
268,Washroom is dirty,Luggage,Very Negative,Medium,Lost and found informed,Pending
269,Food served was stale,Noise Complaint,Negative,Medium,Coach attendant informed,Resolved
270,Washroom is dirty,Security,Very Negative,High,RPF team alerted,Pending
271,Passenger lost luggage,Women Safety,Neutral,High,RPF escort assigned,Resolved
272,WiFi not available,Ticket Issue,Neutral,Low,Refund process initiated,Pending
273,Train delayed by 3 hours,Electrical,Very Negative,Medium,Electrician assigned,Resolved
274,Blanket not provided,Bedroll Missing,Neutral,Medium,Housekeeping informed,Resolved
275,WiFi not available,Catering Issue,Negative,Low,Vendor contacted,Resolved
276,Washroom is dirty,Cleanliness,Negative,Medium,Cleaning team dispatched,Pending
277,Medical assistance required urgently,Reservation,Neutral,Medium,Reservation department informed,Resolved
278,AC not working in coach B2,Women Safety,Negative,Medium,RPF escort assigned,Resolved
279,Washroom is dirty,Washroom Problem,Neutral,High,Cleaning staff informed,Pending
280,Medical assistance required urgently,Bedroll Missing,Neutral,Low,Housekeeping informed,Resolved
281,Food served was stale,Reservation,Negative,Medium,Reservation department informed,Resolved
282,Food served was stale,Noise Complaint,Very Negative,High,Coach attendant informed,Resolved
283,Train delayed by 3 hours,Medical Emergency,Neutral,High,Medical team alerted,Resolved
284,Unauthorized person entered coach,Medical Emergency,Very Negative,High,Medical team alerted,Pending
285,Unauthorized person entered coach,AC Issue,Negative,High,Technician assigned,Resolved
286,Train delayed by 3 hours,Food Quality,Very Negative,Low,Catering manager informed,Pending
287,AC not working in coach B2,Ticket Issue,Very Negative,Medium,Refund process initiated,Pending
288,Passenger lost luggage,Electrical,Negative,Low,Electrician assigned,Pending
289,AC not working in coach B2,Bedroll Missing,Neutral,Low,Housekeeping informed,Pending
290,Food served was stale,Water Problem,Neutral,Low,Vendor informed,Pending
291,Passenger lost luggage,Security,Very Negative,High,RPF team alerted,Resolved
292,Unauthorized person entered coach,Reservation,Neutral,Medium,Reservation department informed,Resolved
293,Blanket not provided,Delay,Very Negative,High,Delay notification sent,Resolved
294,Unauthorized person entered coach,Staff Behaviour,Neutral,High,Supervisor informed,Resolved
295,WiFi not available,Security,Neutral,High,RPF team alerted,Resolved
296,Washroom is dirty,Medical Emergency,Negative,Medium,Medical team alerted,Pending
297,Unauthorized person entered coach,AC Issue,Very Negative,Medium,Technician assigned,Resolved
298,Blanket not provided,Electrical,Very Negative,Low,Electrician assigned,Pending
299,Passenger lost luggage,Delay,Very Negative,Medium,Delay notification sent,Pending
300,Blanket not provided,Bedroll Missing,Very Negative,Low,Housekeeping informed,Pending
301,WiFi not available,Security,Neutral,Medium,RPF team alerted,Pending
302,Charging point not working,Electrical,Negative,Low,Electrician assigned,Resolved
303,AC not working in coach B2,Bedroll Missing,Negative,High,Housekeeping informed,Pending
304,Washroom is dirty,Delay,Negative,Low,Delay notification sent,Pending
305,Food served was stale,Luggage,Negative,Low,Lost and found informed,Pending
306,Unauthorized person entered coach,Security,Very Negative,Medium,RPF team alerted,Pending
307,Passenger lost luggage,Washroom Problem,Neutral,Medium,Cleaning staff informed,Pending
308,Unauthorized person entered coach,Women Safety,Neutral,High,RPF escort assigned,Resolved
309,WiFi not available,Noise Complaint,Neutral,High,Coach attendant informed,Pending
310,AC not working in coach B2,Theft,Negative,High,RPF complaint registered,Resolved
311,Medical assistance required urgently,Reservation,Very Negative,Medium,Reservation department informed,Resolved
312,Train delayed by 3 hours,Women Safety,Very Negative,Medium,RPF escort assigned,Pending
313,WiFi not available,Noise Complaint,Negative,Medium,Coach attendant informed,Resolved
314,WiFi not available,Security,Negative,Low,RPF team alerted,Pending
315,Washroom is dirty,Medical Emergency,Negative,Low,Medical team alerted,Pending
316,Food served was stale,AC Issue,Negative,Low,Technician assigned,Pending
317,Blanket not provided,Reservation,Neutral,Low,Reservation department informed,Pending
318,Passenger lost luggage,Medical Emergency,Negative,Medium,Medical team alerted,Resolved
319,Washroom is dirty,Reservation,Very Negative,Low,Reservation department informed,Resolved
320,Blanket not provided,Catering Issue,Neutral,Low,Vendor contacted,Resolved
321,AC not working in coach B2,Luggage,Very Negative,Low,Lost and found informed,Resolved
322,Charging point not working,Cleanliness,Neutral,High,Cleaning team dispatched,Resolved
323,Charging point not working,Medical Emergency,Negative,Medium,Medical team alerted,Resolved
324,AC not working in coach B2,Theft,Very Negative,Low,RPF complaint registered,Pending
325,Blanket not provided,Staff Behaviour,Very Negative,Low,Supervisor informed,Pending
326,Washroom is dirty,AC Issue,Negative,Medium,Technician assigned,Resolved
327,Unauthorized person entered coach,Bedroll Missing,Very Negative,High,Housekeeping informed,Pending
328,Unauthorized person entered coach,Food Quality,Neutral,Low,Catering manager informed,Resolved
329,Train delayed by 3 hours,Security,Very Negative,High,RPF team alerted,Resolved
330,Food served was stale,Food Quality,Negative,High,Catering manager informed,Resolved
331,Washroom is dirty,Staff Behaviour,Negative,Low,Supervisor informed,Resolved
332,WiFi not available,Water Problem,Very Negative,High,Vendor informed,Resolved
333,Unauthorized person entered coach,Reservation,Negative,Medium,Reservation department informed,Pending
334,WiFi not available,Luggage,Negative,High,Lost and found informed,Pending
335,Charging point not working,Electrical,Negative,High,Electrician assigned,Resolved
336,Charging point not working,Food Quality,Very Negative,High,Catering manager informed,Resolved
337,Washroom is dirty,Bedroll Missing,Negative,High,Housekeeping informed,Pending
338,Train delayed by 3 hours,Water Problem,Very Negative,Low,Vendor informed,Resolved
339,Food served was stale,Theft,Neutral,High,RPF complaint registered,Pending
340,Charging point not working,Food Quality,Negative,High,Catering manager informed,Pending
341,WiFi not available,Luggage,Negative,High,Lost and found informed,Resolved
342,AC not working in coach B2,Coach Damage,Neutral,High,Maintenance team assigned,Resolved
343,AC not working in coach B2,Coach Damage,Neutral,Medium,Maintenance team assigned,Pending
344,Charging point not working,Noise Complaint,Very Negative,Low,Coach attendant informed,Pending
345,Food served was stale,Delay,Neutral,Low,Delay notification sent,Resolved
346,Washroom is dirty,Security,Very Negative,Medium,RPF team alerted,Pending
347,Washroom is dirty,Staff Behaviour,Very Negative,Low,Supervisor informed,Pending
348,Charging point not working,Luggage,Neutral,High,Lost and found informed,Resolved
349,Passenger lost luggage,Catering Issue,Negative,High,Vendor contacted,Resolved
350,Charging point not working,Catering Issue,Neutral,High,Vendor contacted,Resolved
351,Food served was stale,Security,Negative,High,RPF team alerted,Resolved
352,Unauthorized person entered coach,Electrical,Negative,Low,Electrician assigned,Resolved
353,Train delayed by 3 hours,Security,Neutral,Medium,RPF team alerted,Resolved
354,Washroom is dirty,Luggage,Neutral,Low,Lost and found informed,Pending
355,WiFi not available,Water Problem,Negative,Medium,Vendor informed,Pending
356,AC not working in coach B2,Washroom Problem,Negative,Medium,Cleaning staff informed,Pending
357,Unauthorized person entered coach,Water Problem,Very Negative,High,Vendor informed,Pending
358,Unauthorized person entered coach,WiFi Issue,Negative,Low,Technical support informed,Pending
359,Medical assistance required urgently,Bedroll Missing,Neutral,High,Housekeeping informed,Resolved
360,Food served was stale,Washroom Problem,Negative,Low,Cleaning staff informed,Pending
361,Unauthorized person entered coach,Luggage,Negative,Medium,Lost and found informed,Pending
362,Washroom is dirty,Luggage,Very Negative,Medium,Lost and found informed,Resolved
